name,age,sex,phone number,ID card,date of birth,congenital disase
James Miller,34,male,81207540,0,30/8/1987,None
Jonathon Canon,30,male,85663751,1,14/2/1991,None
Robert Powell,42,male,83949299,2,6/11/1979,None
Jesse Wormley,35,male,85470764,3,26/6/1986,None
Justin Mcpeak,30,male,88533561,4,2/7/1991,None
Donald Hodges,20,male,84079580,5,9/1/2001,None
Joyce Romeo,33,female,83211673,6,19/2/1988,None
Dominique Hoover,54,female,85977247,7,27/10/1967,None
Janice Cody,52,female,84105047,8,1/12/1969,None
Wayne Degraff,25,male,86227927,9,22/11/1996,None
Bonnie Miller,60,female,89992516,10,29/8/1961,None
Mark Ferguson,36,male,85830997,11,1/4/1985,None
Suzanne Crowley,39,female,85083759,12,7/6/1982,None
Gene Schell,22,male,87710167,13,13/4/1999,None
Kenneth Husbands,18,male,84422352,14,20/9/2003,None
Timothy Williams,35,male,86218763,15,24/7/1986,None
Raymond Schauble,12,male,87424162,16,22/3/2009,None
Heidi Petersen,12,female,85779206,17,27/4/2009,None
Margaret Oakes,15,female,80968719,18,16/7/2006,None
Rhonda Franklin,35,female,85702912,19,7/2/1986,None
Paul Cook,56,male,83412565,20,4/6/1965,None
Julia Milhorn,19,female,84705047,21,3/4/2002,None
Arthur Trammell,58,male,84733335,22,1/8/1963,None
Saul Bascom,57,male,83490128,23,27/4/1964,None
Mary Jones,46,female,86664024,24,14/8/1975,None
Gale Whitfield,22,female,84852004,25,3/2/1999,None
Roy Mercado,45,male,80539810,26,2/6/1976,None
Ronald Pitt,49,male,80745651,27,20/2/1972,None
Leslie Crisci,44,female,88969726,28,12/5/1977,None
Alice Holland,10,female,85775286,29,13/7/2011,None
Marie Ahmad,59,female,82023231,30,6/2/1962,None
John Potts,35,male,87067919,31,23/6/1986,None
Michael Martinez,19,male,81951785,32,14/11/2002,None
Leslie Parson,36,male,83474754,33,22/5/1985,None
Steve Nowak,49,male,87851200,34,26/1/1972,None
James Fick,26,male,87904536,35,14/2/1995,None
Edward Hansen,33,male,81761007,36,6/8/1988,None
Drew Reay,11,male,80674434,37,28/11/2010,None
Samantha Davis,50,female,86160420,38,7/10/1971,None
James Begay,39,male,81255226,39,21/6/1982,None
Stephen Bishop,29,male,84057749,40,19/11/1992,None
Jane Fitting,48,female,85574393,41,15/10/1973,None
Sarah Boehm,17,female,89613597,42,12/4/2004,None
Elizabeth Earle,50,female,83517009,43,3/5/1971,None
Rita Baldwin,52,female,81420657,44,2/10/1969,None
Joseph Flanders,13,male,81861968,45,18/10/2008,None
Terry Heideman,30,female,89457447,46,26/1/1991,None
Eugene Obrien,41,male,80861874,47,12/12/1980,None
Michael Harris,48,male,87974840,48,4/8/1973,None
Matthew Harper,25,male,83487649,49,26/12/1996,None
Kevin Krause,43,male,87630914,50,20/3/1978,None
Becky Lake,27,female,89630311,51,26/10/1994,None
Galen Soehl,10,male,83661870,52,16/8/2011,None
Margaret Honeycutt,35,female,85324958,53,8/11/1986,None
Thomas Deming,42,male,87827124,54,12/1/1979,None
Thomas Hoover,12,male,87667883,55,3/8/2009,None
Ronald Brown,18,male,87225600,56,14/3/2003,None
Jessica Evans,40,female,87610868,57,20/3/1981,None
Sarah Ellis,28,female,86068157,58,29/12/1993,None
Pamela Leandry,29,female,82039779,59,13/7/1992,None
Pedro Currier,31,male,83946395,60,16/7/1990,None
Brent Lyons,45,male,84438024,61,25/5/1976,None
Paul Waldorf,27,male,84907953,62,23/5/1994,None
Ann Padilla,37,female,83451782,63,19/3/1984,None
Douglas Laird,11,male,87147418,64,26/12/2010,None
James Fisher,44,male,83515780,65,7/4/1977,None
Cary Parker,56,male,82427916,66,18/8/1965,None
Michael Robinson,45,male,80249154,67,6/6/1976,None
Sharon Gendron,56,female,82608166,68,20/3/1965,None
Pamela Gene,33,female,86714385,69,11/12/1988,None
Mark Moss,51,male,81795250,70,27/7/1970,None
Brandi Peterson,56,female,86657032,71,6/9/1965,None
Inez Keiser,43,female,87194651,72,9/8/1978,None
Michael Carter,57,male,81487393,73,24/11/1964,None
Margaret Duncan,44,female,88568114,74,29/2/1977,None
Thomas Simmons,52,male,84445341,75,18/7/1969,None
Jerry Bell,19,male,89509397,76,24/7/2002,None
Vera Klos,34,female,87249085,77,3/10/1987,None
John Kellar,51,male,81771252,78,20/8/1970,None
Marie Gil,12,female,84710383,79,20/9/2009,None
Michael Cox,37,male,81501158,80,23/12/1984,None
Ronald Rowland,50,male,85014046,81,27/6/1971,None
Rosemary Wright,60,female,81548479,82,23/9/1961,None
Geraldine Oconnor,17,female,83340817,83,24/11/2004,None
Esther Thompson,51,female,87298783,84,17/10/1970,None
Paul Scott,38,male,83357345,85,27/11/1983,None
Cora Caruthers,57,female,85018615,86,7/10/1964,None
Kimberly Glass,44,female,85582148,87,26/3/1977,None
Wendy Long,34,female,86467437,88,12/9/1987,None
Geraldine Umanzor,15,female,88962025,89,7/7/2006,None
Alvin Bartlett,54,male,86044476,90,15/5/1967,None
Jean Heron,31,female,84466808,91,4/10/1990,None
Anita Hefner,25,female,84743480,92,13/2/1996,None
Darryl Shadwick,40,male,87973588,93,19/3/1981,None
Donald Travers,32,male,85133820,94,27/10/1989,None
Ruben Weatherholt,37,male,87523162,95,8/9/1984,None
Josephine Presley,21,female,83746151,96,7/1/2000,None
James Merrick,29,male,82171596,97,20/9/1992,None
Kyle Harris,15,male,89703578,98,15/10/2006,None
Nichole Stephan,60,female,81249141,99,18/11/1961,None
Jana Bryan,27,female,82627703,100,16/11/1994,None
Steven Lane,24,male,83785837,101,18/8/1997,None
Kendall Edwards,40,male,81940272,102,21/10/1981,None
Marvin England,51,male,89881568,103,29/12/1970,None
Marie Blake,16,female,86379734,104,12/8/2005,None
Jessica Ballard,36,female,86247867,105,26/3/1985,None
Ana Lloyd,35,female,82018893,106,29/10/1986,None
Louis Ruiz,45,male,83116226,107,28/4/1976,None
Angelo Bayard,22,male,81061037,108,9/2/1999,None
Annette Huddleston,39,female,87084169,109,2/7/1982,None
Margaret Wilkie,13,female,84231285,110,7/1/2008,None
Randolph Williams,10,male,81907492,111,1/12/2011,None
Kristy Sanchez,34,female,83745894,112,4/5/1987,None
Pamella Hill,16,female,89400503,113,2/8/2005,None
David Griffin,39,male,87614798,114,3/11/1982,None
Alma Marks,18,female,84483428,115,22/12/2003,None
Heather Rice,28,female,84158122,116,19/6/1993,None
Lydia Perez,29,female,80379608,117,10/5/1992,None
Donald Ramsey,32,male,88968866,118,6/5/1989,None
Mildred Higgins,18,female,84395435,119,20/6/2003,None
Rachel Woods,12,female,89079968,120,16/5/2009,None
Rebecca Bourg,34,female,85498119,121,23/8/1987,None
Michael Rickel,37,male,81858207,122,20/8/1984,None
Katharine Dewinter,36,female,86952021,123,15/12/1985,None
Richard Gravatt,52,male,81252794,124,17/4/1969,None
David Cearns,48,male,89907589,125,6/11/1973,None
Anna Gambino,19,female,82834265,126,17/7/2002,None
James Wolfe,36,male,84830909,127,19/3/1985,None
Roberto Katz,16,male,89004211,128,3/2/2005,None
Anthony Clayton,52,male,84153456,129,25/9/1969,None
Kayla Green,47,female,88975113,130,27/7/1974,None
William Lundy,42,male,83388196,131,13/11/1979,None
Charles Vitt,58,male,84897831,132,17/6/1963,None
Josefina Lewis,60,female,80811182,133,17/12/1961,None
Deborah Young,35,female,89365257,134,3/2/1986,None
Steven Harris,41,male,85174575,135,18/3/1980,None
Tara Kreiman,35,female,82015458,136,10/10/1986,None
Richard Malaspina,18,male,84734671,137,16/3/2003,None
Ellen Carpenter,42,female,85645108,138,29/5/1979,None
